cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,571,248,304,19,2020-02-23
Shiyan,十堰,667,267,398,2,2020-02-23
Xianning,咸宁,836,398,427,11,2020-02-23
Tianmen,天门,494,232,249,13,2020-02-23
Xiaogan,孝感,3443,1078,2263,102,2020-02-23
Yichang,宜昌,917,289,599,29,2020-02-23
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,123,125,3,2020-02-23
Wuhan,武汉,46201,8189,36156,1856,2020-02-23
Qianjiang,潜江,191,78,105,8,2020-02-23
,监狱系统,253,3,250,0,2020-02-23
Shennongjia,神农架林区,11,10,1,0,2020-02-23
Jingzhou,荆州,1574,681,852,41,2020-02-23
Jingmen,荆门,918,361,520,37,2020-02-23
Xiangyang,襄阳,1173,463,682,28,2020-02-23
Ezhou,鄂州,1379,417,922,40,2020-02-23
Suizhou,随州,1300,498,772,30,2020-02-23
Huanggang,黄冈,2904,1540,1266,98,2020-02-23
Huangshi,黄石,1001,468,504,29,2020-02-23
