cityName,confirmedCount,curedCount,deadCount,date
仙桃,416,41,7,2020-02-10
十堰,481,46,0,2020-02-10
咸宁,507,44,4,2020-02-10
天门,217,10,10,2020-02-10
孝感,2541,81,33,2020-02-10
宜昌,749,43,8,2020-02-10
恩施州,187,30,0,2020-02-10
武汉,16902,1046,681,2020-02-10
潜江,85,3,2,2020-02-10
神农架林区,10,6,0,2020-02-10
荆州,1045,46,15,2020-02-10
荆门,641,63,20,2020-02-10
襄阳,1019,42,9,2020-02-10
鄂州,725,48,24,2020-02-10
随州,1049,23,10,2020-02-10
黄冈,2252,215,45,2020-02-10
黄石,805,67,3,2020-02-10
