cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
仙桃,480,48,416,16,2020-02-13
十堰,562,81,480,1,2020-02-13
咸宁,534,84,443,7,2020-02-13
天门,362,13,339,10,2020-02-13
孝感,2874,209,2616,49,2020-02-13
宜昌,810,72,727,11,2020-02-13
恩施州,229,48,177,4,2020-02-13
武汉,32994,1923,30035,1036,2020-02-13
潜江,94,8,81,5,2020-02-13
神农架林区,10,8,2,0,2020-02-13
荆州,1431,104,1304,23,2020-02-13
荆门,927,93,810,24,2020-02-13
襄阳,1101,66,1022,13,2020-02-13
鄂州,1065,96,939,30,2020-02-13
随州,1160,62,1084,14,2020-02-13
黄冈,2662,427,2177,58,2020-02-13
黄石,911,115,787,9,2020-02-13
