cityName,confirmedCount,curedCount,deadCount,date
仙桃,379,16,5,2020-02-09
十堰,467,40,0,2020-02-09
咸宁,493,23,4,2020-02-09
天门,197,10,10,2020-02-09
孝感,2436,53,29,2020-02-09
宜昌,711,36,8,2020-02-09
恩施州,171,23,0,2020-02-09
武汉,14982,878,608,2020-02-09
潜江,82,2,2,2020-02-09
神农架林区,10,6,0,2020-02-09
荆州,997,42,13,2020-02-09
荆门,663,48,19,2020-02-09
襄阳,988,40,7,2020-02-09
鄂州,639,42,21,2020-02-09
随州,984,23,9,2020-02-09
黄冈,2141,137,43,2020-02-09
黄石,760,61,2,2020-02-09
