cityName,confirmedCount,curedCount,deadCount,date
仙桃,359,14,5,2020-02-08
十堰,438,40,0,2020-02-08
咸宁,476,16,2,2020-02-08
天门,179,1,10,2020-02-08
孝感,2313,42,26,2020-02-08
宜昌,633,25,8,2020-02-08
恩施州,160,20,0,2020-02-08
武汉,13603,747,545,2020-02-08
潜江,80,1,2,2020-02-08
神农架林区,10,2,0,2020-02-08
荆州,941,31,11,2020-02-08
荆门,588,36,18,2020-02-08
襄阳,907,34,5,2020-02-08
鄂州,569,33,20,2020-02-08
随州,953,23,9,2020-02-08
黄冈,2041,105,36,2020-02-08
黄石,703,48,2,2020-02-08
