cityName,confirmedCount,curedCount,deadCount,date
仙桃,438,41,11,2020-02-11
十堰,505,60,1,2020-02-11
咸宁,515,56,5,2020-02-11
天门,261,12,10,2020-02-11
孝感,2642,139,41,2020-02-11
宜昌,772,52,8,2020-02-11
恩施州,195,33,2,2020-02-11
武汉,18454,1242,748,2020-02-11
潜江,90,3,3,2020-02-11
神农架林区,10,6,0,2020-02-11
荆州,1075,57,17,2020-02-11
荆门,656,69,21,2020-02-11
襄阳,1063,54,12,2020-02-11
鄂州,790,61,26,2020-02-11
随州,1095,26,12,2020-02-11
黄冈,2332,279,52,2020-02-11
黄石,835,87,5,2020-02-11
