cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,547,6,22,2020-03-23
Shiyan,十堰,672,664,0,8,2020-03-23
Xianning,咸宁,836,821,0,15,2020-03-23
Tianmen,天门,496,481,0,15,2020-03-23
Xiaogan,孝感,3518,3376,14,128,2020-03-23
Yichang,宜昌,931,892,3,36,2020-03-23
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-23
Wuhan,武汉,50006,43214,4268,2524,2020-03-23
Qianjiang,潜江,198,187,2,9,2020-03-23
Shennongjia,神农架林区,11,11,0,0,2020-03-23
Jingzhou,荆州,1580,1526,3,51,2020-03-23
Jingmen,荆门,928,885,4,39,2020-03-23
Xiangyang,襄阳,1175,1134,2,39,2020-03-23
Ezhou,鄂州,1394,1327,8,59,2020-03-23
Suizhou,随州,1307,1258,4,45,2020-03-23
Huanggang,黄冈,2907,2782,0,125,2020-03-23
Huangshi,黄石,1015,973,4,38,2020-03-23
