cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,544,121,404,19,2020-02-18
Shiyan,十堰,626,144,480,2,2020-02-18
Xianning,咸宁,868,206,652,10,2020-02-18
Tianmen,天门,500,55,434,11,2020-02-18
Xiaogan,孝感,3320,523,2722,75,2020-02-18
Yichang,宜昌,904,186,694,24,2020-02-18
Enshi Tujia and Miao Autonomous Prefecture,恩施州,250,90,156,4,2020-02-18
Wuhan,武汉,42752,4253,37118,1381,2020-02-18
Qianjiang,潜江,185,27,152,6,2020-02-18
Shennongjia,神农架林区,10,10,0,0,2020-02-18
Jingzhou,荆州,1537,339,1160,38,2020-02-18
Jingmen,荆门,900,143,724,33,2020-02-18
Xiangyang,襄阳,1163,182,960,21,2020-02-18
Ezhou,鄂州,1339,271,1032,36,2020-02-18
Suizhou,随州,1278,198,1055,25,2020-02-18
Huanggang,黄冈,2828,941,1803,84,2020-02-18
Huangshi,黄石,985,254,711,20,2020-02-18
