cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,562,149,394,19,2020-02-19
Shiyan,十堰,638,164,472,2,2020-02-19
Xianning,咸宁,832,228,594,10,2020-02-19
Tianmen,天门,486,73,402,11,2020-02-19
Xiaogan,孝感,3344,572,2690,82,2020-02-19
Yichang,宜昌,907,208,674,25,2020-02-19
Area not defined,待明确地区,0,12,-12,0,2020-02-19
Enshi Tujia and Miao Autonomous Prefecture,恩施州,249,96,150,3,2020-02-19
Wuhan,武汉,44412,5038,37877,1497,2020-02-19
Qianjiang,潜江,185,40,139,6,2020-02-19
Shennongjia,神农架林区,10,10,0,0,2020-02-19
Jingzhou,荆州,1541,409,1094,38,2020-02-19
Jingmen,荆门,901,181,687,33,2020-02-19
Xiangyang,襄阳,1165,230,913,22,2020-02-19
Ezhou,鄂州,1343,301,1005,37,2020-02-19
Suizhou,随州,1280,254,1000,26,2020-02-19
Huanggang,黄冈,2844,1059,1700,85,2020-02-19
Huangshi,黄石,983,284,674,25,2020-02-19
