cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,520,33,22,2020-03-14
Shiyan,十堰,672,629,35,8,2020-03-14
Xianning,咸宁,836,818,4,14,2020-03-14
Tianmen,天门,496,476,5,15,2020-03-14
Xiaogan,孝感,3518,3237,155,126,2020-03-14
Yichang,宜昌,931,858,37,36,2020-03-14
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,238,7,7,2020-03-14
Wuhan,武汉,49995,36465,11084,2446,2020-03-14
Qianjiang,潜江,198,182,7,9,2020-03-14
Shennongjia,神农架林区,11,11,0,0,2020-03-14
Jingzhou,荆州,1580,1474,56,50,2020-03-14
Jingmen,荆门,928,860,29,39,2020-03-14
Xiangyang,襄阳,1175,1115,22,38,2020-03-14
Ezhou,鄂州,1394,1212,125,57,2020-03-14
Suizhou,随州,1307,1192,70,45,2020-03-14
Huanggang,黄冈,2907,2730,52,125,2020-03-14
Huangshi,黄石,1015,943,34,38,2020-03-14
