cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,506,48,21,2020-03-09
Shiyan,十堰,672,588,76,8,2020-03-09
Xianning,咸宁,836,806,16,14,2020-03-09
Tianmen,天门,496,461,20,15,2020-03-09
Xiaogan,孝感,3518,3057,335,126,2020-03-09
Yichang,宜昌,931,753,144,34,2020-03-09
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,233,13,6,2020-03-09
Wuhan,武汉,49948,30987,16572,2389,2020-03-09
Qianjiang,潜江,198,172,17,9,2020-03-09
Shennongjia,神农架林区,11,11,0,0,2020-03-09
Jingzhou,荆州,1580,1410,121,49,2020-03-09
Jingmen,荆门,928,767,122,39,2020-03-09
Xiangyang,襄阳,1175,1064,73,38,2020-03-09
Ezhou,鄂州,1394,1030,310,54,2020-03-09
Suizhou,随州,1307,1104,159,44,2020-03-09
Huanggang,黄冈,2907,2641,141,125,2020-03-09
Huangshi,黄石,1015,897,81,37,2020-03-09
