cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,337,219,19,2020-02-26
Shiyan,十堰,671,348,320,3,2020-02-26
Xianning,咸宁,836,567,258,11,2020-02-26
Tianmen,天门,496,286,197,13,2020-02-26
Xiaogan,孝感,3501,1388,2000,113,2020-02-26
Yichang,宜昌,927,362,535,30,2020-02-26
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,158,89,4,2020-02-26
Wuhan,武汉,47441,11824,33532,2085,2020-02-26
Qianjiang,潜江,196,94,93,9,2020-02-26
Shennongjia,神农架林区,11,10,1,0,2020-02-26
Jingzhou,荆州,1577,822,711,44,2020-02-26
Jingmen,荆门,922,469,416,37,2020-02-26
Xiangyang,襄阳,1175,653,492,30,2020-02-26
Ezhou,鄂州,1387,543,803,41,2020-02-26
Suizhou,随州,1306,652,617,37,2020-02-26
Huanggang,黄冈,2904,1852,945,107,2020-02-26
Huangshi,黄石,1011,592,387,32,2020-02-26
