cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,547,6,22,2020-03-22
Shiyan,十堰,672,663,1,8,2020-03-22
Xianning,咸宁,836,821,0,15,2020-03-22
Tianmen,天门,496,481,0,15,2020-03-22
Xiaogan,孝感,3518,3366,24,128,2020-03-22
Yichang,宜昌,931,891,4,36,2020-03-22
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-22
Wuhan,武汉,50005,42355,5142,2508,2020-03-22
Qianjiang,潜江,198,187,2,9,2020-03-22
Shennongjia,神农架林区,11,11,0,0,2020-03-22
Jingzhou,荆州,1580,1525,4,51,2020-03-22
Jingmen,荆门,928,884,5,39,2020-03-22
Xiangyang,襄阳,1175,1131,5,39,2020-03-22
Ezhou,鄂州,1394,1319,16,59,2020-03-22
Suizhou,随州,1307,1252,10,45,2020-03-22
Huanggang,黄冈,2907,2782,0,125,2020-03-22
Huangshi,黄石,1015,973,4,38,2020-03-22
