cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,551,2,22,2020-03-27
Shiyan,十堰,672,664,0,8,2020-03-27
Xianning,咸宁,836,821,0,15,2020-03-27
Tianmen,天门,496,481,0,15,2020-03-27
Xiaogan,孝感,3518,3386,4,128,2020-03-27
Yichang,宜昌,931,894,1,36,2020-03-27
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-27
Wuhan,武汉,50006,44591,2880,2535,2020-03-27
Qianjiang,潜江,198,188,1,9,2020-03-27
Shennongjia,神农架林区,11,11,0,0,2020-03-27
Jingzhou,荆州,1580,1527,1,52,2020-03-27
Jingmen,荆门,928,886,2,40,2020-03-27
Xiangyang,襄阳,1175,1135,1,39,2020-03-27
Ezhou,鄂州,1394,1332,3,59,2020-03-27
Suizhou,随州,1307,1262,0,45,2020-03-27
Huanggang,黄冈,2907,2782,0,125,2020-03-27
Huangshi,黄石,1015,976,0,39,2020-03-27
