cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,567,184,364,19,2020-02-20
Shiyan,十堰,641,187,452,2,2020-02-20
Xianning,咸宁,766,268,488,10,2020-02-20
Tianmen,天门,473,133,328,12,2020-02-20
Xiaogan,孝感,3329,674,2566,89,2020-02-20
Yichang,宜昌,891,231,633,27,2020-02-20
Enshi Tujia and Miao Autonomous Prefecture,恩施州,244,102,139,3,2020-02-20
Wuhan,武汉,45027,5581,37861,1585,2020-02-20
Qianjiang,潜江,185,49,129,7,2020-02-20
Shennongjia,神农架林区,10,10,0,0,2020-02-20
Jingzhou,荆州,1510,451,1019,40,2020-02-20
Jingmen,荆门,794,201,559,34,2020-02-20
Xiangyang,襄阳,1167,294,850,23,2020-02-20
Ezhou,鄂州,1338,350,950,38,2020-02-20
Suizhou,随州,1283,309,947,27,2020-02-20
Huanggang,黄冈,2839,1149,1603,87,2020-02-20
Huangshi,黄石,967,331,610,26,2020-02-20
