cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,571,231,321,19,2020-02-22
Shiyan,十堰,659,239,418,2,2020-02-22
Xianning,咸宁,836,361,464,11,2020-02-22
Tianmen,天门,493,198,283,12,2020-02-22
Xiaogan,孝感,3429,917,2414,98,2020-02-22
Yichang,宜昌,914,273,612,29,2020-02-22
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,117,131,3,2020-02-22
Wuhan,武汉,45660,7292,36594,1774,2020-02-22
Qianjiang,潜江,189,67,114,8,2020-02-22
,监狱系统,221,3,218,0,2020-02-22
Shennongjia,神农架林区,11,10,1,0,2020-02-22
Jingzhou,荆州,1566,612,914,40,2020-02-22
Jingmen,荆门,914,296,581,37,2020-02-22
Xiangyang,襄阳,1173,402,745,26,2020-02-22
Ezhou,鄂州,1375,386,950,39,2020-02-22
Suizhou,随州,1296,443,824,29,2020-02-22
Huanggang,黄冈,2899,1408,1396,95,2020-02-22
Huangshi,黄石,997,433,536,28,2020-02-22
