cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,438,118,19,2020-03-01
Shiyan,十堰,672,441,224,7,2020-03-01
Xianning,咸宁,836,692,132,12,2020-03-01
Tianmen,天门,496,371,112,13,2020-03-01
Xiaogan,孝感,3518,2215,1185,118,2020-03-01
Yichang,宜昌,931,506,394,31,2020-03-01
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,192,56,4,2020-03-01
Wuhan,武汉,49122,19576,27351,2195,2020-03-01
Qianjiang,潜江,198,119,70,9,2020-03-01
Shennongjia,神农架林区,11,11,0,0,2020-03-01
Jingzhou,荆州,1579,1034,499,46,2020-03-01
Jingmen,荆门,925,604,284,37,2020-03-01
Xiangyang,襄阳,1175,850,291,34,2020-03-01
Ezhou,鄂州,1391,784,560,47,2020-03-01
Suizhou,随州,1307,835,432,40,2020-03-01
Huanggang,黄冈,2905,2171,619,115,2020-03-01
Huangshi,黄石,1014,697,283,34,2020-03-01
