cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,467,88,20,2020-03-03
Shiyan,十堰,672,491,174,7,2020-03-03
Xianning,咸宁,836,749,75,12,2020-03-03
Tianmen,天门,496,414,68,14,2020-03-03
Xiaogan,孝感,3518,2560,838,120,2020-03-03
Yichang,宜昌,931,583,316,32,2020-03-03
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,201,47,4,2020-03-03
Wuhan,武汉,49540,24890,22368,2282,2020-03-03
Qianjiang,潜江,198,128,61,9,2020-03-03
Shennongjia,神农架林区,11,11,0,0,2020-03-03
Jingzhou,荆州,1580,1144,388,48,2020-03-03
Jingmen,荆门,928,651,238,39,2020-03-03
Xiangyang,襄阳,1175,913,228,34,2020-03-03
Ezhou,鄂州,1391,840,503,48,2020-03-03
Suizhou,随州,1307,893,372,42,2020-03-03
Huanggang,黄冈,2907,2343,445,119,2020-03-03
Huangshi,黄石,1014,752,227,35,2020-03-03
