cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,523,87,419,17,2020-02-16
Shiyan,十堰,602,116,484,2,2020-02-16
Xianning,咸宁,852,152,692,8,2020-02-16
Tianmen,天门,447,27,410,10,2020-02-16
Xiaogan,孝感,3201,380,2756,65,2020-02-16
Yichang,宜昌,901,140,740,21,2020-02-16
Enshi Tujia and Miao Autonomous Prefecture,恩施州,247,76,167,4,2020-02-16
Wuhan,武汉,39462,2925,35304,1233,2020-02-16
Qianjiang,潜江,166,12,148,6,2020-02-16
Shennongjia,神农架林区,10,8,2,0,2020-02-16
Jingzhou,荆州,1490,263,1191,36,2020-02-16
Jingmen,荆门,909,117,762,30,2020-02-16
Xiangyang,襄阳,1144,114,1011,19,2020-02-16
Ezhou,鄂州,1230,222,974,34,2020-02-16
Suizhou,随州,1254,113,1119,22,2020-02-16
Huanggang,黄冈,2823,716,2032,75,2020-02-16
Huangshi,黄石,988,198,776,14,2020-02-16
