cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,520,33,22,2020-03-11
Shiyan,十堰,672,604,60,8,2020-03-11
Xianning,咸宁,836,812,10,14,2020-03-11
Tianmen,天门,496,473,8,15,2020-03-11
Xiaogan,孝感,3518,3149,243,126,2020-03-11
Yichang,宜昌,931,800,96,35,2020-03-11
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,235,10,7,2020-03-11
Wuhan,武汉,49978,33117,14438,2423,2020-03-11
Qianjiang,潜江,198,179,10,9,2020-03-11
Shennongjia,神农架林区,11,11,0,0,2020-03-11
Jingzhou,荆州,1580,1442,89,49,2020-03-11
Jingmen,荆门,928,817,72,39,2020-03-11
Xiangyang,襄阳,1175,1094,43,38,2020-03-11
Ezhou,鄂州,1394,1127,213,54,2020-03-11
Suizhou,随州,1307,1151,112,44,2020-03-11
Huanggang,黄冈,2907,2684,98,125,2020-03-11
Huangshi,黄石,1015,919,58,38,2020-03-11
