cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,529,24,22,2020-03-16
Shiyan,十堰,672,634,30,8,2020-03-16
Xianning,咸宁,836,819,3,14,2020-03-16
Tianmen,天门,496,477,4,15,2020-03-16
Xiaogan,孝感,3518,3266,125,127,2020-03-16
Yichang,宜昌,931,868,27,36,2020-03-16
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,242,3,7,2020-03-16
Wuhan,武汉,50003,38432,9102,2469,2020-03-16
Qianjiang,潜江,198,183,6,9,2020-03-16
Shennongjia,神农架林区,11,11,0,0,2020-03-16
Jingzhou,荆州,1580,1492,38,50,2020-03-16
Jingmen,荆门,928,865,24,39,2020-03-16
Xiangyang,襄阳,1175,1128,9,38,2020-03-16
Ezhou,鄂州,1394,1275,62,57,2020-03-16
Suizhou,随州,1307,1221,41,45,2020-03-16
Huanggang,黄冈,2907,2750,32,125,2020-03-16
Huangshi,黄石,1015,950,27,38,2020-03-16
