cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,551,2,22,2020-03-25
Shiyan,十堰,672,664,0,8,2020-03-25
Xianning,咸宁,836,821,0,15,2020-03-25
Tianmen,天门,496,481,0,15,2020-03-25
Xiaogan,孝感,3518,3383,7,128,2020-03-25
Yichang,宜昌,931,893,2,36,2020-03-25
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-25
Wuhan,武汉,50006,44068,3407,2531,2020-03-25
Qianjiang,潜江,198,188,1,9,2020-03-25
Shennongjia,神农架林区,11,11,0,0,2020-03-25
Jingzhou,荆州,1580,1527,1,52,2020-03-25
Jingmen,荆门,928,886,3,39,2020-03-25
Xiangyang,襄阳,1175,1134,2,39,2020-03-25
Ezhou,鄂州,1394,1330,5,59,2020-03-25
Suizhou,随州,1307,1262,0,45,2020-03-25
Huanggang,黄冈,2907,2782,0,125,2020-03-25
Huangshi,黄石,1015,975,1,39,2020-03-25
