cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,518,35,22,2020-03-10
Shiyan,十堰,672,596,68,8,2020-03-10
Xianning,咸宁,836,808,14,14,2020-03-10
Tianmen,天门,496,471,10,15,2020-03-10
Xiaogan,孝感,3518,3111,281,126,2020-03-10
Yichang,宜昌,931,772,125,34,2020-03-10
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,233,13,6,2020-03-10
Wuhan,武汉,49965,31973,15588,2404,2020-03-10
Qianjiang,潜江,198,176,13,9,2020-03-10
Shennongjia,神农架林区,11,11,0,0,2020-03-10
Jingzhou,荆州,1580,1431,100,49,2020-03-10
Jingmen,荆门,928,789,100,39,2020-03-10
Xiangyang,襄阳,1175,1072,65,38,2020-03-10
Ezhou,鄂州,1394,1079,261,54,2020-03-10
Suizhou,随州,1307,1126,137,44,2020-03-10
Huanggang,黄冈,2907,2664,118,125,2020-03-10
Huangshi,黄石,1015,911,67,37,2020-03-10
