cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,520,33,22,2020-03-12
Shiyan,十堰,672,626,38,8,2020-03-12
Xianning,咸宁,836,816,6,14,2020-03-12
Tianmen,天门,496,476,5,15,2020-03-12
Xiaogan,孝感,3518,3204,188,126,2020-03-12
Yichang,宜昌,931,847,48,36,2020-03-12
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,236,9,7,2020-03-12
Wuhan,武汉,49991,35197,12358,2436,2020-03-12
Qianjiang,潜江,198,182,7,9,2020-03-12
Shennongjia,神农架林区,11,11,0,0,2020-03-12
Jingzhou,荆州,1580,1464,67,49,2020-03-12
Jingmen,荆门,928,839,50,39,2020-03-12
Xiangyang,襄阳,1175,1112,25,38,2020-03-12
Ezhou,鄂州,1394,1184,155,55,2020-03-12
Suizhou,随州,1307,1181,81,45,2020-03-12
Huanggang,黄冈,2907,2720,62,125,2020-03-12
Huangshi,黄石,1015,938,39,38,2020-03-12
