cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,408,148,19,2020-02-29
Shiyan,十堰,671,421,243,7,2020-02-29
Xianning,咸宁,836,677,148,11,2020-02-29
Tianmen,天门,496,362,121,13,2020-02-29
Xiaogan,孝感,3518,2047,1356,115,2020-02-29
Yichang,宜昌,931,463,437,31,2020-02-29
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,181,67,4,2020-02-29
Wuhan,武汉,48557,17636,28752,2169,2020-02-29
Qianjiang,潜江,198,107,82,9,2020-02-29
Shennongjia,神农架林区,11,10,1,0,2020-02-29
Jingzhou,荆州,1579,965,568,46,2020-02-29
Jingmen,荆门,924,563,324,37,2020-02-29
Xiangyang,襄阳,1175,802,340,33,2020-02-29
Ezhou,鄂州,1390,747,599,44,2020-02-29
Suizhou,随州,1307,797,470,40,2020-02-29
Huanggang,黄冈,2904,2119,670,115,2020-02-29
Huangshi,黄石,1013,688,291,34,2020-02-29
