cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,490,65,20,2020-03-06
Shiyan,十堰,672,539,125,8,2020-03-06
Xianning,咸宁,836,786,36,14,2020-03-06
Tianmen,天门,496,442,39,15,2020-03-06
Xiaogan,孝感,3518,2911,484,123,2020-03-06
Yichang,宜昌,931,684,214,33,2020-03-06
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,226,20,6,2020-03-06
Wuhan,武汉,49797,27375,20094,2328,2020-03-06
Qianjiang,潜江,198,159,30,9,2020-03-06
Shennongjia,神农架林区,11,11,0,0,2020-03-06
Jingzhou,荆州,1580,1327,205,48,2020-03-06
Jingmen,荆门,928,702,187,39,2020-03-06
Xiangyang,襄阳,1175,1011,129,35,2020-03-06
Ezhou,鄂州,1394,930,411,53,2020-03-06
Suizhou,随州,1307,1010,255,42,2020-03-06
Huanggang,黄冈,2907,2526,259,122,2020-03-06
Huangshi,黄石,1015,859,120,36,2020-03-06
