cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,552,1,22,2020-03-28
Shiyan,十堰,672,664,0,8,2020-03-28
Xianning,咸宁,836,821,0,15,2020-03-28
Tianmen,天门,496,481,0,15,2020-03-28
Xiaogan,孝感,3518,3389,1,128,2020-03-28
Yichang,宜昌,931,894,1,36,2020-03-28
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-28
Wuhan,武汉,50006,45418,2045,2543,2020-03-28
Qianjiang,潜江,198,188,1,9,2020-03-28
Shennongjia,神农架林区,11,11,0,0,2020-03-28
Jingzhou,荆州,1580,1528,0,52,2020-03-28
Jingmen,荆门,928,887,1,40,2020-03-28
Xiangyang,襄阳,1175,1135,1,39,2020-03-28
Ezhou,鄂州,1394,1332,3,59,2020-03-28
Suizhou,随州,1307,1262,0,45,2020-03-28
Huanggang,黄冈,2907,2782,0,125,2020-03-28
Huangshi,黄石,1015,976,0,39,2020-03-28
