cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,501,53,21,2020-03-08
Shiyan,十堰,672,571,93,8,2020-03-08
Xianning,咸宁,836,801,21,14,2020-03-08
Tianmen,天门,496,457,24,15,2020-03-08
Xiaogan,孝感,3518,3024,369,125,2020-03-08
Yichang,宜昌,931,727,170,34,2020-03-08
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,231,15,6,2020-03-08
Wuhan,武汉,49912,29908,17634,2370,2020-03-08
Qianjiang,潜江,198,168,21,9,2020-03-08
Shennongjia,神农架林区,11,11,0,0,2020-03-08
Jingzhou,荆州,1580,1376,155,49,2020-03-08
Jingmen,荆门,928,743,146,39,2020-03-08
Xiangyang,襄阳,1175,1055,82,38,2020-03-08
Ezhou,鄂州,1394,988,352,54,2020-03-08
Suizhou,随州,1307,1077,187,43,2020-03-08
Huanggang,黄冈,2907,2631,151,125,2020-03-08
Huangshi,黄石,1015,884,95,36,2020-03-08
