cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,531,22,22,2020-03-17
Shiyan,十堰,672,638,26,8,2020-03-17
Xianning,咸宁,836,821,0,15,2020-03-17
Tianmen,天门,496,477,4,15,2020-03-17
Xiaogan,孝感,3518,3278,113,127,2020-03-17
Yichang,宜昌,931,873,22,36,2020-03-17
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,243,2,7,2020-03-17
Wuhan,武汉,50004,39220,8304,2480,2020-03-17
Qianjiang,潜江,198,184,5,9,2020-03-17
Shennongjia,神农架林区,11,11,0,0,2020-03-17
Jingzhou,荆州,1580,1498,32,50,2020-03-17
Jingmen,荆门,928,868,21,39,2020-03-17
Xiangyang,襄阳,1175,1129,8,38,2020-03-17
Ezhou,鄂州,1394,1285,52,57,2020-03-17
Suizhou,随州,1307,1221,41,45,2020-03-17
Huanggang,黄冈,2907,2765,17,125,2020-03-17
Huangshi,黄石,1015,961,16,38,2020-03-17
