cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,388,168,19,2020-02-27
Shiyan,十堰,671,389,276,6,2020-02-27
Xianning,咸宁,836,644,181,11,2020-02-27
Tianmen,天门,496,332,151,13,2020-02-27
Xiaogan,孝感,3517,1795,1608,114,2020-02-27
Yichang,宜昌,931,429,471,31,2020-02-27
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,172,75,4,2020-02-27
Wuhan,武汉,48137,15826,30179,2132,2020-02-27
Qianjiang,潜江,198,99,90,9,2020-02-27
Shennongjia,神农架林区,11,10,1,0,2020-02-27
Jingzhou,荆州,1579,913,620,46,2020-02-27
Jingmen,荆门,924,534,353,37,2020-02-27
Xiangyang,襄阳,1175,753,390,32,2020-02-27
Ezhou,鄂州,1389,685,661,43,2020-02-27
Suizhou,随州,1307,740,529,38,2020-02-27
Huanggang,黄冈,2904,2041,749,114,2020-02-27
Huangshi,黄石,1013,653,327,33,2020-02-27
