cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,538,15,22,2020-03-19
Shiyan,十堰,672,655,9,8,2020-03-19
Xianning,咸宁,836,821,0,15,2020-03-19
Tianmen,天门,496,479,2,15,2020-03-19
Xiaogan,孝感,3518,3323,67,128,2020-03-19
Yichang,宜昌,931,882,13,36,2020-03-19
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-19
Wuhan,武汉,50005,40766,6743,2496,2020-03-19
Qianjiang,潜江,198,187,2,9,2020-03-19
Shennongjia,神农架林区,11,11,0,0,2020-03-19
Jingzhou,荆州,1580,1502,28,50,2020-03-19
Jingmen,荆门,928,871,18,39,2020-03-19
Xiangyang,襄阳,1175,1131,5,39,2020-03-19
Ezhou,鄂州,1394,1298,38,58,2020-03-19
Suizhou,随州,1307,1226,36,45,2020-03-19
Huanggang,黄冈,2907,2782,0,125,2020-03-19
Huangshi,黄石,1015,965,12,38,2020-03-19
