cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
仙桃,514,63,434,17,2020-02-15
十堰,597,101,494,2,2020-02-15
咸宁,840,127,705,8,2020-02-15
天门,422,21,391,10,2020-02-15
孝感,3114,313,2739,62,2020-02-15
宜昌,906,92,799,15,2020-02-15
恩施州,244,75,165,4,2020-02-15
武汉,37914,2535,34256,1123,2020-02-15
潜江,116,12,99,5,2020-02-15
神农架林区,10,8,2,0,2020-02-15
荆州,1478,193,1253,32,2020-02-15
荆门,902,112,762,28,2020-02-15
襄阳,1128,85,1025,18,2020-02-15
鄂州,1192,199,960,33,2020-02-15
随州,1232,96,1117,19,2020-02-15
黄冈,2817,611,2138,68,2020-02-15
黄石,980,178,789,13,2020-02-15
