cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,573,268,286,19,2020-02-24
Shiyan,十堰,669,293,374,2,2020-02-24
Xianning,咸宁,836,445,380,11,2020-02-24
Tianmen,天门,494,258,223,13,2020-02-24
Xiaogan,孝感,3465,1177,2180,108,2020-02-24
Yichang,宜昌,924,304,591,29,2020-02-24
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,146,101,4,2020-02-24
Wuhan,武汉,46607,8950,35670,1987,2020-02-24
Qianjiang,潜江,194,82,104,8,2020-02-24
Shennongjia,神农架林区,11,10,1,0,2020-02-24
Jingzhou,荆州,1574,734,798,42,2020-02-24
Jingmen,荆门,920,389,494,37,2020-02-24
Xiangyang,襄阳,1174,521,624,29,2020-02-24
Ezhou,鄂州,1383,470,873,40,2020-02-24
Suizhou,随州,1303,551,719,33,2020-02-24
Huanggang,黄冈,2904,1659,1142,103,2020-02-24
Huangshi,黄石,1005,491,484,30,2020-02-24
