cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,568,210,339,19,2020-02-21
Shiyan,十堰,654,212,440,2,2020-02-21
Xianning,咸宁,766,314,442,10,2020-02-21
Tianmen,天门,477,165,300,12,2020-02-21
Xiaogan,孝感,3346,771,2481,94,2020-02-21
Yichang,宜昌,895,250,617,28,2020-02-21
Enshi Tujia and Miao Autonomous Prefecture,恩施州,245,112,130,3,2020-02-21
Wuhan,武汉,45346,6273,37389,1684,2020-02-21
Qianjiang,潜江,188,57,124,7,2020-02-21
,监狱系统,220,0,220,0,2020-02-21
Shennongjia,神农架林区,10,10,0,0,2020-02-21
Jingzhou,荆州,1517,531,946,40,2020-02-21
Jingmen,荆门,800,229,534,37,2020-02-21
Xiangyang,襄阳,1170,343,803,24,2020-02-21
Ezhou,鄂州,1343,375,929,39,2020-02-21
Suizhou,随州,1287,386,873,28,2020-02-21
Huanggang,黄冈,2856,1274,1492,90,2020-02-21
Huangshi,黄石,974,361,586,27,2020-02-21
