cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,461,95,19,2020-03-02
Shiyan,十堰,672,459,206,7,2020-03-02
Xianning,咸宁,836,735,89,12,2020-03-02
Tianmen,天门,496,393,89,14,2020-03-02
Xiaogan,孝感,3518,2397,1001,120,2020-03-02
Yichang,宜昌,931,535,365,31,2020-03-02
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,193,55,4,2020-03-02
Wuhan,武汉,49315,21185,25903,2227,2020-03-02
Qianjiang,潜江,198,122,67,9,2020-03-02
Shennongjia,神农架林区,11,11,0,0,2020-03-02
Jingzhou,荆州,1580,1096,436,48,2020-03-02
Jingmen,荆门,927,622,266,39,2020-03-02
Xiangyang,襄阳,1175,885,256,34,2020-03-02
Ezhou,鄂州,1391,814,529,48,2020-03-02
Suizhou,随州,1307,865,402,40,2020-03-02
Huanggang,黄冈,2905,2260,529,116,2020-03-02
Huangshi,黄石,1014,729,250,35,2020-03-02
