cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,481,74,20,2020-03-05
Shiyan,十堰,672,527,138,7,2020-03-05
Xianning,咸宁,836,776,46,14,2020-03-05
Tianmen,天门,496,435,46,15,2020-03-05
Xiaogan,孝感,3518,2821,576,121,2020-03-05
Yichang,宜昌,931,639,259,33,2020-03-05
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,207,40,5,2020-03-05
Wuhan,武汉,49671,26404,20962,2305,2020-03-05
Qianjiang,潜江,198,151,38,9,2020-03-05
Shennongjia,神农架林区,11,11,0,0,2020-03-05
Jingzhou,荆州,1580,1269,263,48,2020-03-05
Jingmen,荆门,928,686,203,39,2020-03-05
Xiangyang,襄阳,1175,980,160,35,2020-03-05
Ezhou,鄂州,1394,918,424,52,2020-03-05
Suizhou,随州,1307,975,290,42,2020-03-05
Huanggang,黄冈,2907,2472,314,121,2020-03-05
Huangshi,黄石,1015,822,157,36,2020-03-05
