cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,316,240,19,2020-02-25
Shiyan,十堰,671,317,351,3,2020-02-25
Xianning,咸宁,836,504,321,11,2020-02-25
Tianmen,天门,495,282,200,13,2020-02-25
Xiaogan,孝感,3482,1328,2044,110,2020-02-25
Yichang,宜昌,926,347,550,29,2020-02-25
Enshi Tujia and Miao Autonomous Prefecture,恩施州,251,151,96,4,2020-02-25
Wuhan,武汉,47071,10368,34660,2043,2020-02-25
Qianjiang,潜江,195,91,96,8,2020-02-25
Shennongjia,神农架林区,11,10,1,0,2020-02-25
Jingzhou,荆州,1576,776,758,42,2020-02-25
Jingmen,荆门,920,432,451,37,2020-02-25
Xiangyang,襄阳,1175,593,552,30,2020-02-25
Ezhou,鄂州,1385,502,842,41,2020-02-25
Suizhou,随州,1305,601,668,36,2020-02-25
Huanggang,黄冈,2904,1760,1038,106,2020-02-25
Huangshi,黄石,1008,568,409,31,2020-02-25
