cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,552,1,22,2020-03-29
Shiyan,十堰,672,664,0,8,2020-03-29
Xianning,咸宁,836,821,0,15,2020-03-29
Tianmen,天门,496,481,0,15,2020-03-29
Xiaogan,孝感,3518,3389,1,128,2020-03-29
Yichang,宜昌,931,894,1,36,2020-03-29
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-03-29
Wuhan,武汉,50006,45733,1726,2547,2020-03-29
Qianjiang,潜江,198,189,0,9,2020-03-29
Shennongjia,神农架林区,11,11,0,0,2020-03-29
Jingzhou,荆州,1580,1528,0,52,2020-03-29
Jingmen,荆门,928,887,1,40,2020-03-29
Xiangyang,襄阳,1175,1135,1,39,2020-03-29
Ezhou,鄂州,1394,1333,2,59,2020-03-29
Suizhou,随州,1307,1262,0,45,2020-03-29
Huanggang,黄冈,2907,2782,0,125,2020-03-29
Huangshi,黄石,1015,976,0,39,2020-03-29
