cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,526,27,22,2020-03-15
Shiyan,十堰,672,630,34,8,2020-03-15
Xianning,咸宁,836,819,3,14,2020-03-15
Tianmen,天门,496,477,4,15,2020-03-15
Xiaogan,孝感,3518,3253,139,126,2020-03-15
Yichang,宜昌,931,864,31,36,2020-03-15
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,241,4,7,2020-03-15
Wuhan,武汉,49999,37642,9901,2456,2020-03-15
Qianjiang,潜江,198,182,7,9,2020-03-15
Shennongjia,神农架林区,11,11,0,0,2020-03-15
Jingzhou,荆州,1580,1483,47,50,2020-03-15
Jingmen,荆门,928,864,25,39,2020-03-15
Xiangyang,襄阳,1175,1125,12,38,2020-03-15
Ezhou,鄂州,1394,1272,65,57,2020-03-15
Suizhou,随州,1307,1213,49,45,2020-03-15
Huanggang,黄冈,2907,2738,44,125,2020-03-15
Huangshi,黄石,1015,948,29,38,2020-03-15
