cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,531,107,405,19,2020-02-17
Shiyan,十堰,612,126,484,2,2020-02-17
Xianning,咸宁,861,181,670,10,2020-02-17
Tianmen,天门,485,39,436,10,2020-02-17
Xiaogan,孝感,3279,449,2760,70,2020-02-17
Yichang,宜昌,895,156,715,24,2020-02-17
Enshi Tujia and Miao Autonomous Prefecture,恩施州,249,82,163,4,2020-02-17
Wuhan,武汉,41152,3507,36336,1309,2020-02-17
Qianjiang,潜江,182,18,158,6,2020-02-17
Shennongjia,神农架林区,10,10,0,0,2020-02-17
Jingzhou,荆州,1501,305,1159,37,2020-02-17
Jingmen,荆门,915,132,750,33,2020-02-17
Xiangyang,襄阳,1155,151,984,20,2020-02-17
Ezhou,鄂州,1274,244,995,35,2020-02-17
Suizhou,随州,1267,140,1103,24,2020-02-17
Huanggang,黄冈,2831,839,1914,78,2020-02-17
Huangshi,黄石,983,207,761,15,2020-02-17
